,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,created_at
76,konninn,"Stjarnan - Man UTD - Skeiðin - Bjór -  Þreyttur gaur. 
Profit -I get it.... my hair looks sexy back...",Iceland,653,580,28512,0,"@sveinnbirkir Ég sagði samt á þýsku, ekki frá þýskalandi. Allt innan marka.",[],2017-09-29 23:21:56
77,UiB_Rotevatn,"Geology Prof @BergenBasins @uibgeo @UiB🔥🤓. Editor-in-Chief @BasinResearch. Rock doc 🏔️, father of 4 👭👬, player of pianos 🎹, pilot in spe 🛩️.","Bergen, Norway",2501,3280,7722,0,"Gratulerer masse med #formidlingspris fra @forskningsradet, @henriksvensen! VEL fortjent! @CEEDOslo @unioslo_mn @UniOslo 😀🌎",['formidlingspris'],2017-09-29 23:21:48
78,SosterChiara,ƤƎЯᑕℍÈ ᔕ0ℓ0 ᑕℍᎥ ᔕ0❡Иᗩ ƤυÓ ϑ0ℓᗩЯƎ.❤️,"Lessona, Piemonte",316,432,7959,0,"RT @Fra_Barberis: Non esiste galassia in cui qualcosa si possa nascondere... 
Tua madre lo troverà.
Nel tuo armadio.
Dove tu avevi già guar…",[],2017-09-29 23:21:17
79,LongoOlgaMaria_,Ancora viva (e cinquantenne!)Ed ho ancora l'account attivo!,,67,26,40584,0,"Io lo so perché avete messo in tendenza l'# faccioschifo, perché siete invidiosi delle mie patate cipolla e speck! Fra un po' me le mangio!",[],2017-09-29 23:21:16
80,koeforoi,CAMI (they/he) 🏳️‍🌈 | Translator 🇬🇧🇮🇹🇯🇵 | 🐻 art account: @C0EF0RE | ojisan central | 成人済みのイタリア人。日本語がほとんどできるので、心配なくてフォローご自由に。,Italia,683,1138,274668,0,@transfren https://t.co/g4DZPFcmus scusa ma questo è fra i miei raccomandati di youtube e adesso ti denuncio,[],2017-09-29 23:20:17
81,juniorfresh02,Saw BoYz Dembow,soy bacanisimo dame back,225,215,531153,0,Plan om at få narkomisbrug væk fra gaderne har spillet fallit,[],2017-09-29 23:20:06
82,thirdbrainfx,"ThirdBrainFx  #FX Robot and signal provider since 2011
Get your Trader Pass with private telegram channel and 6 of our best expert advisor.",Lausanne (Switzerland),19308,12039,1891939,0,"#A2017040130 is really the strategy to follow now with  #FRA.40 , profit : 5925 pips, 24 trades.,MaxDD :-5700, Visi… https://t.co/RemSDkYOPg","['A2017040130', 'FRA']",2017-09-29 23:20:02
83,sveinnbirkir,"Nettur köttur | Heimspekingur |  Forstöðumaður markaðssamskipta @islandsstofa /// Philosopher | Director of comms, Promote Iceland ///","Reykjavík, Iceland",3362,2701,29189,0,@konninn Finnst þetta mjög grátt. Veistu hver annar var frá Austurríki?,[],2017-09-29 23:19:16
84,AliRootInk,Alice🌈 ~ 22 y/o ~ She/Her ~ Series TV addicted ~ Animals lover,Italia,1601,470,150255,0,RT @Jcapseyes: Spiegatemi perché il dialogo in italiano fra Andrew e Carina mi è sembrato cosi strano HAAHAHAH sembrava doppiato boh #Greys…,[],2017-09-29 23:18:48
85,hommibot,"jojo col cappello, real life lisa mishima, robotfucker & fan del ribadire la propria non eterosessualità. la patch 3.0 include un peggioramento morale generale",,0,18,99356,0,il confine fra furry e xenophilia é molto sottile in mass effect,[],2017-09-29 23:18:48
86,AsiaHewson,"It's me. And that's enough, I think.", Italy ,1508,2196,63929,10,È stato anche fra i 10 candidati del Best Worldwide Act #MTVEMA #NominoMarcoMengoni,"['MTVEMA', 'NominoMarcoMengoni']",2017-09-29 23:18:45
